Delivery Week,Producer Code,Product ID,Product,Quantity,Cost,Fulfilled,Water Access,Land Ownership
10/11/2021,PBY,3166,"Potatoes, Red",10,5000,0,False,False
10/11/2021,SGC,3188,"Squash, Winter, Butternut",25,2465,25,,
10/11/2021,LXF,3613,"Beets, Bulk",18,2631,18,,
10/11/2021,HAF,3755,"Carrots, Orange Bulk",12,3162,0,False,True
10/11/2021,LXF,3132,"Carrots, Rainbow Bulk",60,3162,60,,
10/11/2021,LXF,3132,"Carrots, Rainbow Bulk",40,3162,0,,
10/11/2021,NTN,3592,Broccoli,30,3145,0,False,False
10/11/2021,KSL,3592,Broccoli,20,3145,0,False,False
10/11/2021,YMF,3755,"Carrots, Orange Bulk",15,3162,15,True,False
10/11/2021,MKV,3166,"Potatoes, Red",10,5000,0,,
10/11/2021,RSV,3755,"Carrots, Orange Bulk",15,3162,15,False,False
10/11/2021,PBY,3613,"Beets, Bulk",16,2631,16,False,False
10/11/2021,MLP,3592,Broccoli,20,3145,0,,
10/11/2021,NTN,3755,"Carrots, Orange Bulk",30,3162,30,False,False
10/11/2021,SGC,3188,"Squash, Winter, Butternut",25,2465,25,,
10/11/2021,MHG,3613,"Beets, Bulk",16,2631,0,True,True
10/11/2021,YMF,3099,Beets w/greens,75,3600,0,True,False
10/11/2021,WKH,3132,"Carrots, Rainbow Bulk",60,3162,0,,
10/11/2021,YMF,3132,"Carrots, Rainbow Bulk",12,3162,12,True,False
10/11/2021,YMF,3775,Kohlrabi,18,3000,0,True,False
10/11/2021,CBS,3188,"Squash, Winter, Butternut",25,2465,25,True,True
10/11/2021,YMF,3592,Broccoli,30,3145,0,True,False
10/11/2021,SGC,3188,"Squash, Winter, Butternut",25,2465,25,,
10/11/2021,LXF,3166,"Potatoes, Red",10,5000,10,,
10/11/2021,SGC,3592,Broccoli,10,3145,0,,
10/11/2021,WKH,3592,Broccoli,10,3145,0,,
10/11/2021,YMF,3178,"Radishes, Daikon",25,3000,15,True,False
10/11/2021,CVP,3166,"Potatoes, Red",10,5000,10,False,False
10/11/2021,CVP,3755,"Carrots, Orange Bulk",30,3162,30,False,False
10/11/2021,PBY,3592,Broccoli,30,3145,0,False,False
10/11/2021,MHG,3178,"Radishes, Daikon",25,3000,0,True,True
10/11/2021,D2D,3755,"Carrots, Orange Bulk",30,3162,0,True,True
10/18/2021,CVP,3755,"Carrots, Orange Bulk",30,3162,30,False,False
10/18/2021,SGC,3188,"Squash, Winter, Butternut",25,2465,25,,
10/18/2021,SGC,3754,Cabbage,10,3400,10,,
10/18/2021,SGC,3754,Cabbage,10,3400,10,,
10/18/2021,SEE,3189,"Squash, Winter, Delicata",52,3500,24,True,True
10/18/2021,HAF,3755,"Carrots, Orange Bulk",12,3162,0,False,True
10/18/2021,WKH,3759,"Onions, Bulb",20,4000,13,,
10/18/2021,SGC,3189,"Squash, Winter, Delicata",25,3500,10,,
10/18/2021,LKW,3759,"Onions, Bulb",5,4000,0,,
10/18/2021,MKV,3759,"Onions, Bulb",20,4000,0,,
10/18/2021,NTN,3759,"Onions, Bulb",10,4000,5,False,False
10/18/2021,PBY,3759,"Onions, Bulb",20,4000,0,False,False
10/18/2021,SGC,3759,"Onions, Bulb",20,4000,8,,
10/18/2021,SGC,3759,"Onions, Bulb",20,4000,0,,
10/18/2021,NTN,3807,Cauliflower,23,2300,0,False,False
10/18/2021,UNK,3759,"Onions, Bulb",8,4000,0,False,False
10/18/2021,YMF,3266,"Onions, Green or Scallions-24 ct",38,2880,0,True,False
10/18/2021,YMF,3132,"Carrots, Rainbow Bulk",12,3162,12,True,False
10/18/2021,WKH,3132,"Carrots, Rainbow Bulk",60,3162,0,,
10/18/2021,YMF,3189,"Squash, Winter, Delicata",25,3500,22,True,False
10/18/2021,LXF,3132,"Carrots, Rainbow Bulk",60,3162,60,,
10/18/2021,SGC,3189,"Squash, Winter, Delicata",25,3500,0,,
10/18/2021,YMF,3755,"Carrots, Orange Bulk",15,3162,15,True,False
10/18/2021,SGC,3189,"Squash, Winter, Delicata",25,3500,0,,
10/18/2021,NTN,3755,"Carrots, Orange Bulk",30,3162,30,False,False
10/18/2021,D2D,3755,"Carrots, Orange Bulk",30,3162,0,True,True
10/18/2021,RSV,3755,"Carrots, Orange Bulk",15,3162,15,False,False
10/18/2021,YMF,3813,"Greens, Kale-24 ct",38,3600,38,True,False
10/18/2021,YMF,3178,"Radishes, Daikon",25,3000,25,True,False
10/18/2021,SGC,3188,"Squash, Winter, Butternut",25,2465,25,,
10/18/2021,LXF,3613,"Beets, Bulk",18,2631,18,,
10/18/2021,LXF,3171,"Potatoes, Yellow",10,5000,0,,
10/18/2021,MKV,3171,"Potatoes, Yellow",10,5000,0,,
10/18/2021,CVP,3171,"Potatoes, Yellow",10,5000,0,False,False
10/18/2021,MHG,3178,"Radishes, Daikon",25,3000,0,True,True
10/18/2021,PBY,3613,"Beets, Bulk",16,2631,16,False,False
10/18/2021,SGC,3188,"Squash, Winter, Butternut",25,2465,25,,
10/18/2021,CLP,3613,"Beets, Bulk",16,2631,16,False,True
10/18/2021,PBY,3592,Broccoli,42,3145,0,False,False
10/18/2021,MHG,3613,"Beets, Bulk",16,2631,0,True,True
10/18/2021,CBS,3188,"Squash, Winter, Butternut",25,2465,25,True,True
10/18/2021,NTN,3171,"Potatoes, Yellow",10,5000,0,False,False
10/25/2021,SGC,3188,"Squash, Winter, Butternut",25,2465,25,,
10/25/2021,SGC,3188,"Squash, Winter, Butternut",25,2465,24,,
10/25/2021,LXF,3132,"Carrots, Rainbow Bulk",24,3162,0,,
10/25/2021,LXF,3132,"Carrots, Rainbow Bulk",60,3162,0,,
10/25/2021,HAF,3755,"Carrots, Orange Bulk",12,3162,0,False,True
10/25/2021,LXF,3613,"Beets, Bulk",18,2631,0,,
10/25/2021,PBY,3613,"Beets, Bulk",16,2631,16,False,False
10/25/2021,NTN,3755,"Carrots, Orange Bulk",30,3162,30,False,False
10/25/2021,MHG,3613,"Beets, Bulk",16,2631,0,True,True
10/25/2021,RSV,3755,"Carrots, Orange Bulk",15,3162,15,False,False
10/25/2021,D2D,3755,"Carrots, Orange Bulk",30,3162,0,True,True
10/25/2021,YMF,3755,"Carrots, Orange Bulk",15,3162,15,True,False
10/25/2021,CLP,3613,"Beets, Bulk",16,2631,16,False,True
10/25/2021,CBS,3188,"Squash, Winter, Butternut",25,2465,0,True,True
10/25/2021,CVP,3755,"Carrots, Orange Bulk",30,3162,30,False,False
10/25/2021,WKH,3132,"Carrots, Rainbow Bulk",12,3162,0,,
10/25/2021,WKH,3132,"Carrots, Rainbow Bulk",60,3162,0,,
10/25/2021,YMF,3132,"Carrots, Rainbow Bulk",12,3162,0,True,False
10/25/2021,MHG,3178,"Radishes, Daikon",25,3000,0,True,True
10/25/2021,SGC,3188,"Squash, Winter, Butternut",25,2465,0,,
10/25/2021,YMF,3178,"Radishes, Daikon",25,3000,25,True,False
10/4/2021,WKH,3132,"Carrots, Rainbow Bulk",12,3162,0,,
10/4/2021,CBS,3188,"Squash, Winter, Butternut",25,2465,0,True,True
10/4/2021,LXF,3759,"Onions, Bulb",20,4000,20,,
10/4/2021,SGC,3189,"Squash, Winter, Delicata",25,3500,25,,
10/4/2021,LXF,3132,"Carrots, Rainbow Bulk",24,3162,0,,
10/4/2021,SEE,3188,"Squash, Winter, Butternut",68,2465,68,True,True
10/4/2021,MLG,3759,"Onions, Bulb",20,4000,20,False,False
10/4/2021,SXF,3759,"Onions, Bulb",20,4000,0,False,False
10/4/2021,CLP,3613,"Beets, Bulk",16,2631,16,False,True
10/4/2021,SGC,3188,"Squash, Winter, Butternut",25,2465,0,,
10/4/2021,YMF,3759,"Onions, Bulb",20,4000,20,True,False
10/4/2021,NTN,3807,Cauliflower,23,2300,0,False,False
10/4/2021,YMF,3132,"Carrots, Rainbow Bulk",12,3162,12,True,False
10/4/2021,NTN,3171,"Potatoes, Yellow",10,5000,10,False,False
10/4/2021,YMF,3189,"Squash, Winter, Delicata",25,3500,10,True,False
10/4/2021,LXF,3613,"Beets, Bulk",18,2631,0,,
10/4/2021,SGC,3759,"Onions, Bulb",20,4000,20,,
10/4/2021,WKH,3132,"Carrots, Rainbow Bulk",60,3162,0,,
10/4/2021,LXF,3132,"Carrots, Rainbow Bulk",60,3162,0,,
10/4/2021,YMF,3755,"Carrots, Orange Bulk",15,3162,0,True,False
10/4/2021,MHG,3613,"Beets, Bulk",16,2631,0,True,True
10/4/2021,CVP,3171,"Potatoes, Yellow",10,5000,0,False,False
10/4/2021,NTN,3079,Brussels Sprouts,10,4216,10,False,False
10/4/2021,SGC,3188,"Squash, Winter, Butternut",25,2465,0,,
10/4/2021,CVP,3755,"Carrots, Orange Bulk",30,3162,5,False,False
10/4/2021,PBY,3592,Broccoli,42,3145,0,False,False
10/4/2021,SGC,3188,"Squash, Winter, Butternut",25,2465,0,,
10/4/2021,HAF,3755,"Carrots, Orange Bulk",12,3162,0,False,True
10/4/2021,LXF,3171,"Potatoes, Yellow",10,5000,10,,
10/4/2021,D2D,3079,Brussels Sprouts,10,4216,0,True,True
10/4/2021,LXF,3079,Brussels Sprouts,40,4216,40,,
10/4/2021,D2D,3755,"Carrots, Orange Bulk",30,3162,0,True,True
10/4/2021,MKV,3171,"Potatoes, Yellow",10,5000,0,,
10/4/2021,SGC,3189,"Squash, Winter, Delicata",25,3500,25,,
10/4/2021,NTN,3755,"Carrots, Orange Bulk",30,3162,16,False,False
10/4/2021,SGC,3189,"Squash, Winter, Delicata",25,3500,25,,
10/4/2021,RSV,3755,"Carrots, Orange Bulk",15,3162,0,False,False
10/4/2021,PBY,3613,"Beets, Bulk",16,2631,0,False,False
10/4/2021,YMF,3079,Brussels Sprouts,30,4216,29,True,False
11/1/2021,MLG,3759,"Onions, Bulb",20,4000,0,False,False
11/1/2021,LXF,3759,"Onions, Bulb",20,4000,20,,
11/1/2021,NTN,3754,Cabbage,15,3400,15,False,False
11/1/2021,D2D,3754,Cabbage,15,3400,0,True,True
11/1/2021,SGC,3759,"Onions, Bulb",20,4000,0,,
11/1/2021,SXF,3759,"Onions, Bulb",20,4000,0,False,False
11/1/2021,SEE,3188,"Squash, Winter, Butternut",68,2465,30,True,True
11/1/2021,YMF,3178,"Radishes, Daikon",25,3000,5,True,False
11/1/2021,YMF,3759,"Onions, Bulb",20,4000,0,True,False
11/1/2021,AFC,3754,Cabbage,5,3400,0,True,True
11/1/2021,SGC,3754,Cabbage,15,3400,0,,
11/1/2021,SGC,3189,"Squash, Winter, Delicata",25,3500,0,,
11/1/2021,SGC,3189,"Squash, Winter, Delicata",25,3500,0,,
11/1/2021,SGC,3189,"Squash, Winter, Delicata",25,3500,0,,
11/1/2021,MHG,3178,"Radishes, Daikon",25,3000,0,True,True
11/1/2021,YMF,3189,"Squash, Winter, Delicata",25,3500,0,True,False
11/15/2021,AFC,3754,Cabbage,5,3400,0,True,True
11/15/2021,LXF,3759,"Onions, Bulb",20,4000,0,,
11/15/2021,D2D,3754,Cabbage,15,3400,0,True,True
11/15/2021,MLG,3759,"Onions, Bulb",20,4000,0,False,False
11/15/2021,SGC,3759,"Onions, Bulb",20,4000,0,,
11/15/2021,YMF,3759,"Onions, Bulb",20,4000,0,True,False
11/15/2021,SXF,3759,"Onions, Bulb",20,4000,0,False,False
11/15/2021,SGC,3754,Cabbage,15,3400,0,,
11/15/2021,NTN,3754,Cabbage,15,3400,15,False,False
11/15/2021,SEE,9998,"Greens, Spinach",75,4440,0,True,True
11/22/2021,SEE,3188,"Squash, Winter, Butternut",68,2465,0,True,True
11/22/2021,LXF,3132,"Carrots, Rainbow Bulk",24,3162,0,,
11/22/2021,D2D,3754,Cabbage,15,3400,0,True,True
11/22/2021,SGC,3754,Cabbage,15,3400,0,,
11/22/2021,WKH,3132,"Carrots, Rainbow Bulk",12,3162,0,,
11/22/2021,AFC,3754,Cabbage,5,3400,0,True,True
11/22/2021,NTN,3754,Cabbage,15,3400,15,False,False
11/29/2021,SEE,9998,"Greens, Spinach",75,4440,0,True,True
11/8/2021,SGC,3188,"Squash, Winter, Butternut",25,2465,25,,
11/8/2021,SEE,3806,"Lettuce, Salanova",75,3600,0,True,True
11/8/2021,SGC,3188,"Squash, Winter, Butternut",25,2465,0,,
11/8/2021,SGC,3759,"Onions, Bulb",7,4000,0,,
11/8/2021,SGC,3759,"Onions, Bulb",20,4000,0,,
11/8/2021,MKV,3759,"Onions, Bulb",20,4000,0,,
11/8/2021,SGC,3759,"Onions, Bulb",8,4000,0,,
11/8/2021,PBY,3759,"Onions, Bulb",20,4000,0,False,False
11/8/2021,SGC,3188,"Squash, Winter, Butternut",25,2465,0,,
11/8/2021,SGC,3759,"Onions, Bulb",20,4000,0,,
11/8/2021,WKH,3759,"Onions, Bulb",20,4000,0,,
11/8/2021,SGC,3759,"Onions, Bulb",8,4000,0,,
11/8/2021,CBS,3188,"Squash, Winter, Butternut",25,2465,0,True,True
11/8/2021,LXF,3132,"Carrots, Rainbow Bulk",40,3162,0,,
11/8/2021,AFC,3754,Cabbage,15,3400,0,True,True
11/8/2021,D2D,3754,Cabbage,15,3400,0,True,True
11/8/2021,NTN,3754,Cabbage,15,3400,0,False,False
11/8/2021,SGC,3754,Cabbage,5,3400,0,,
6/14/2021,CHO,3278,"Radishes, bunched-24 ct",30,3375,30,False,True
6/14/2021,YMF,3266,"Onions, Green or Scallions-24 ct",11,2880,11,True,False
6/14/2021,SGC,3266,"Onions, Green or Scallions-24 ct",5,2880,5,,
6/14/2021,NTN,3266,"Onions, Green or Scallions-24 ct",11,2880,11,False,False
6/14/2021,SEE,3304,Garlic scapes,38,4800,0,True,True
6/14/2021,YMF,3813,"Greens, Kale-24 ct",38,3600,24,True,False
6/14/2021,HAF,3266,"Onions, Green or Scallions-24 ct",6,2880,6,False,True
6/14/2021,KLF,3278,"Radishes, bunched-24 ct",10,3375,10,,
6/14/2021,CVP,3266,"Onions, Green or Scallions-24 ct",5,2880,5,False,False
6/14/2021,POG,3775,Kohlrabi,36,3000,0,,
6/14/2021,DTF,3806,"Lettuce, Head-24 ct",15,3600,0,False,True
6/14/2021,WKH,3806,"Lettuce, Head-24 ct",5,3600,5,,
6/21/2021,CBS,3278,"Radishes, bunched-24 ct",10,3375,10,True,True
6/21/2021,WKH,3806,"Lettuce, Head-24 ct",5,3600,5,,
6/21/2021,PBY,3573,Bok Choi,30,4000,0,False,False
6/21/2021,WKH,3573,Bok Choi,10,4000,10,,
6/21/2021,WKH,3806,"Lettuce, Head-24 ct",13,3600,13,,
6/21/2021,YMF,3806,"Lettuce, Head-24 ct",15,3600,15,True,False
6/21/2021,YMF,3806,"Lettuce, Head-24 ct",23,3600,0,True,False
6/21/2021,CHO,3806,"Lettuce, Head-24 ct",15,3600,0,False,True
6/21/2021,SGC,3266,"Onions, Green or Scallions-24 ct",5,2880,5,,
6/21/2021,HAF,3806,"Lettuce, Head-24 ct",10,3600,10,False,True
6/21/2021,NTN,3266,"Onions, Green or Scallions-24 ct",7,2880,7,False,False
6/21/2021,DTF,3806,"Lettuce, Head-24 ct",15,3600,0,False,True
6/21/2021,CHO,3266,"Onions, Green or Scallions-24 ct",5,2880,5,False,True
6/21/2021,CVP,3266,"Onions, Green or Scallions-24 ct",5,2880,5,False,False
6/21/2021,HAF,3266,"Onions, Green or Scallions-24 ct",5,2880,5,False,True
6/21/2021,YMF,3266,"Onions, Green or Scallions-24 ct",11,2880,0,True,False
6/21/2021,POG,3669,"Greens, Chard",38,3600,38,,
6/21/2021,KLF,3278,"Radishes, bunched-24 ct",10,3375,10,,
6/21/2021,MHG,3278,"Radishes, bunched-24 ct",5,3375,0,True,True
6/21/2021,D2D,3278,"Radishes, bunched-24 ct",5,3375,5,True,True
6/28/2021,WKH,3573,Bok Choi,45,4000,10,,
6/28/2021,WKH,3806,"Lettuce, Head-24 ct",15,3600,0,,
6/28/2021,CHO,3266,"Onions, Green or Scallions-24 ct",5,2880,0,False,True
6/28/2021,YMF,3216,Rhubarb,36,6000,0,True,False
6/28/2021,MHG,3278,"Radishes, bunched-24 ct",7,3375,0,True,True
6/28/2021,HAF,3266,"Onions, Green or Scallions-24 ct",7,2880,7,False,True
6/28/2021,D2D,3278,"Radishes, bunched-24 ct",5,3375,5,True,True
6/28/2021,CVP,3266,"Onions, Green or Scallions-24 ct",5,2880,5,False,False
6/28/2021,NTN,3266,"Onions, Green or Scallions-24 ct",5,2880,5,False,False
6/28/2021,SEE,9999,Cilantro,19,3600,0,True,True
6/28/2021,KLF,3278,"Radishes, bunched-24 ct",5,3375,5,,
6/28/2021,DTF,3806,"Lettuce, Head-24 ct",15,3600,0,False,True
6/28/2021,CHO,3278,"Radishes, bunched-24 ct",30,3375,0,False,True
6/28/2021,CBS,3278,"Radishes, bunched-24 ct",15,3375,10,True,True
6/28/2021,YMF,3806,"Lettuce, Head-24 ct",5,3600,0,True,False
6/28/2021,CHO,3806,"Lettuce, Head-24 ct",15,3600,0,False,True
6/28/2021,SGC,3266,"Onions, Green or Scallions-24 ct",5,2880,5,,
6/28/2021,POG,3806,"Lettuce, Head-24 ct",38,3600,0,,
6/28/2021,WKH,3278,"Radishes, bunched-24 ct",8,3375,0,,
6/28/2021,YMF,3266,"Onions, Green or Scallions-24 ct",11,2880,11,True,False
6/7/2021,CHO,3266,"Onions, Green or Scallions-24 ct",5,2880,0,False,True
6/7/2021,HAF,3266,"Onions, Green or Scallions-24 ct",5,2880,0,False,True
6/7/2021,CVP,3266,"Onions, Green or Scallions-24 ct",5,2880,0,False,False
6/7/2021,POG,3806,"Lettuce, Head-24 ct",38,3600,19,,
