Producer Code,Owns Land,Access to Water
AGF,TRUE,TRUE
AFC,TRUE,TRUE
BXF,TRUE,FALSE
CAL,TRUE,TRUE
CBO,FALSE,FALSE
CBS,TRUE,TRUE
CMA,FALSE,FALSE
CTH,FALSE,FALSE
CMU,FALSE,FALSE
CHO,TRUE,FALSE
CLP,TRUE,FALSE
D2D,TRUE,TRUE
DTF,TRUE,FALSE
HAF,TRUE,FALSE
YMF,FALSE,TRUE
HOP,FALSE,TRUE
ONC,FALSE,FALSE
JWI,FALSE,FALSE
KAL,FALSE,FALSE
KHF,FALSE,FALSE
LDX,FALSE,TRUE
LVO,TRUE,TRUE
LFF,FALSE,TRUE
,FALSE,FALSE
MFP,FALSE,FALSE
MMO,FALSE,FALSE
MHA,FALSE,FALSE
MHG,TRUE,TRUE
NTN,FALSE,FALSE
MLG,FALSE,FALSE
PZM,FALSE,TRUE
PBY,FALSE,FALSE
PLT,FALSE,FALSE
RSV,FALSE,FALSE
SRF,FALSE,TRUE
SEE,TRUE,TRUE
KSL,FALSE,FALSE
SXF,FALSE,FALSE
LOF,FALSE,FALSE
TEB,TRUE,FALSE
TXI,FALSE,FALSE
CVP,FALSE,FALSE